"StationName,CliftonHS_Jace3"
"Type,Network,Trunk,Device,Address,DeviceType,PointFolder,PointName,PointType,Value,Status"
"Device,BacnetNetwork,,DAIKIN DBAC,1:192.168.1.142:47808,device:6000 config,,,,,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,N1A,N107,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,N1A,N109,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,N1A,N111,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,N1A,N113,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,N1A,N115,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,N1A,N117,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,N1B,N108,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,N1B,N110,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,N1B,N112,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,N1B,N114,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,N1B,N116,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,N2A,N212,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,N2A,N214,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,N2A,N216,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,N2A,N218,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,N2B,N211,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,N2B,N213,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,N2B,N215,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,N2B,N217A,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,N2B,N217,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,N3A,N307,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,N3A,N308,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,N3A,N310,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,N3A,N312,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,N3A,N314,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,N3A,N316,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,N3B,N309A,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,N3B,N309B,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,N3B,N309_N311,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,N3B,N311,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,N3B,N313,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,N3B,N313_N315,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,N3B,N315,bacnet:BacnetPointFolder,N/A,"
"Point,BacnetNetwork,,DAIKIN DBAC,,,C1A,C108A,bacnet:BacnetPointFolder,N/A,"
