"StationName,CliftonSchool_9"
"Type,Network,Trunk,Device,Address,DeviceType,PointFolder,PointName,PointType,Value,Status"
"Device,BacnetNetwork,MstpTrunk2,UV_RM100,2000:04,device:200004 config,,,,,"
"Point,BacnetNetwork,MstpTrunk2,UV_RM100,,,Inputs,DaTemp,control:NumericPoint,76.14 {unackedAlarm} alarmInhibit,"
"Point,BacnetNetwork,MstpTrunk2,UV_RM100,,,Inputs,SpaceTemp,control:NumericPoint,75.18 {unackedAlarm},"
"Point,BacnetNetwork,MstpTrunk2,UV_RM100,,,Inputs,SpaceHumidity,control:NumericPoint,32.60 {ok},"
"Point,BacnetNetwork,MstpTrunk2,UV_RM100,,,Inputs,SpaceCO2,control:NumericPoint,401.00 {unackedAlarm},"
"Point,BacnetNetwork,MstpTrunk2,UV_RM100,,,Inputs,SupplyFanSts,control:BooleanPoint,false {unackedAlarm},"
"Point,BacnetNetwork,MstpTrunk2,UV_RM100,,,Inputs,CFSAlm,control:BooleanPoint,""true {alarm,unackedAlarm}"","
"Point,BacnetNetwork,MstpTrunk2,UV_RM100,,,Inputs,GpsSts,control:BooleanPoint,true {ok},"
"Point,BacnetNetwork,MstpTrunk2,UV_RM100,,,Inputs,HighAlmSp,kitControl:NumericSwitch,85.00 {ok},"
"Point,BacnetNetwork,MstpTrunk2,UV_RM100,,,Inputs,Add,kitControl:Add,88.00 {ok},"
"Point,BacnetNetwork,MstpTrunk2,UV_RM100,,,Inputs,Subtract,kitControl:Subtract,62.00 {ok},"
"Point,BacnetNetwork,MstpTrunk2,UV_RM100,,,Inputs,SpaceTempAlmEnabOfst,control:NumericWritable,3.00 {ok} @ def,"
"Point,BacnetNetwork,MstpTrunk2,UV_RM100,,,Inputs,SpaceTempAlmDsblDb,control:NumericWritable,2.00 {ok} @ def,"
"Point,BacnetNetwork,MstpTrunk2,UV_RM100,,,Inputs,LowAlmSp,kitControl:NumericSwitch,65.00 {ok},"
"Point,BacnetNetwork,MstpTrunk2,UV_RM100,,,Inputs,Not,kitControl:Not,true {ok},"
"Point,BacnetNetwork,MstpTrunk2,UV_RM100,,,Inputs,DaTempHiAlmSp,control:NumericWritable,100.00 {ok} @ def,"
"Point,BacnetNetwork,MstpTrunk2,UV_RM100,,,Inputs,DaTempLoAlmSp,control:NumericWritable,45.00 {ok} @ def,"
"Point,BacnetNetwork,MstpTrunk2,UV_RM100,,,Inputs,DaTempAlmDsblDb,control:NumericWritable,3.00 {ok} @ def,"
"Point,BacnetNetwork,MstpTrunk2,UV_RM100,,,Inputs,DxCallForFan,control:BooleanPoint,false {ok},"
"Point,BacnetNetwork,MstpTrunk2,UV_RM100,,,Outputs,SFLowSpdCmd,control:BooleanPoint,false {ok},"
"Point,BacnetNetwork,MstpTrunk2,UV_RM100,,,Outputs,SFMedSpdCmd,control:BooleanPoint,false {ok},"
"Point,BacnetNetwork,MstpTrunk2,UV_RM100,,,Outputs,SFHiSpdCmd,control:BooleanPoint,false {ok},"
"Point,BacnetNetwork,MstpTrunk2,UV_RM100,,,Outputs,VRVEnable,control:BooleanWritable,false {ok} @ def,"
"Point,BacnetNetwork,MstpTrunk2,UV_RM100,,,Outputs,SteamVlvSig,control:NumericWritable,0.00 {ok} @ def,"
"Point,BacnetNetwork,MstpTrunk2,UV_RM100,,,Outputs,OaDmprCtrl,control:NumericWritable,0.00 {ok} @ def,"
"Point,BacnetNetwork,MstpTrunk2,UV_RM100,,,Outputs,Or,kitControl:Or,false {ok},"
"Point,BacnetNetwork,MstpTrunk2,UV_RM100,,,Overrides,Ov_SpaceTemp,control:NumericWritable,+inf {ok} @ def,"
"Point,BacnetNetwork,MstpTrunk2,UV_RM100,,,Overrides,Ov_FanCmd,control:EnumWritable,Auto {ok} @ def,"
"Point,BacnetNetwork,MstpTrunk2,UV_RM100,,,Setpoints,DaTempSP,control:NumericWritable,85.00 {ok} @ def,"
"Point,BacnetNetwork,MstpTrunk2,UV_RM100,,,Setpoints,MinDaTempSP,control:NumericWritable,60.00 {ok} @ def,"
"Point,BacnetNetwork,MstpTrunk2,UV_RM100,,,Setpoints,CO2LowLvlSP,control:NumericWritable,400.00 {ok} @ def,"
"Point,BacnetNetwork,MstpTrunk2,UV_RM100,,,Setpoints,CO2HiLvlSP,control:NumericWritable,1000.00 {ok} @ def,"
"Point,BacnetNetwork,MstpTrunk2,UV_RM100,,,Setpoints,OccClgSP,control:NumericWritable,72.00 {ok} @ def,"
"Point,BacnetNetwork,MstpTrunk2,UV_RM100,,,Setpoints,UnoccClgSP,control:NumericWritable,85.00 {ok} @ def,"
"Point,BacnetNetwork,MstpTrunk2,UV_RM100,,,Setpoints,OccHtgSP,control:NumericWritable,70.00 {ok} @ def,"
"Point,BacnetNetwork,MstpTrunk2,UV_RM100,,,Setpoints,UnoccHtgSP,control:NumericWritable,65.00 {ok} @ def,"
"Point,BacnetNetwork,MstpTrunk2,UV_RM100,,,Setpoints,OaClgEnableSP,control:NumericWritable,55.00 {ok} @ def,"
"Point,BacnetNetwork,MstpTrunk2,UV_RM100,,,Setpoints,OaHtgEnableSP,control:NumericWritable,60.00 {ok} @ def,"
"Point,BacnetNetwork,MstpTrunk2,UV_RM100,,,Setpoints,SpaceTempSP,control:NumericWritable,nan {ok} @ def,"
"Point,BacnetNetwork,MstpTrunk2,UV_RM100,,,Setpoints,EconMinPosSP,control:NumericWritable,0.00 {ok} @ def,"
