REMOTE,212234,Clifton Early Learner Academy,8
5/7/2025,210983,Clifton Early Learner Academy,4
4/9/2025,210972,Clifton Early Learner Academy,4.5
3/24/2025,210965,Clifton Early Learner Academy,4.5
2/19/2025,210837,Clifton Early Learner Academy,5.5
12/13/2024,208712,Clifton Early Learner Academy,3
7/24/2024,205988,Clifton Early Learner Academy,5
,,,34.5
REMOTE,212234,Clifton HS,8
4/25/2025,210973,Clifton HS,8
3/24/2025,210966,Clifton HS,5.5
3/3/2025,210955,Clifton HS,8
,,,37.5
REMOTE,212239,Clifton Public School #1,8
4/21/2025,210978,Clifton Public School #1,4
3/6/2025,210960,Clifton Public School #1,4
,,,16
REMOTE,,Clifton Public School #11,8
4/10/2025,210975,Clifton Public School #11,3
4/23/2025,210968,Clifton Public School #11,3.5
3/4/2025,210957,Clifton Public School #11,9
,,,23.5
REMOTE,,Clifton Public School #14,8
4/30/2025,210991,Clifton Public School #14,2
4/10/2025,210969,Clifton Public School #14,2
3/7/2025,210962,Clifton Public School #14,3
,,,15
REMOTE,,Clifton Public School #17,8
4/11/2025,211664,Clifton Public School #17,3.5
12/13/2024,208713,Clifton Public School #17,4
7/24/2024,207454,Clifton Public School #17,3.5
,,,19
REMOTE,,Clifton Public School #3,8
4/30/2025,210993,Clifton Public School #3,2
4/11/2025,210971,Clifton Public School #3,2.5
3/21/2025,210964,Clifton Public School #3,4
,,,16.5
REMOTE,,Clifton Public School #4,8
5/7/2025,210995,Clifton Public School #4,4
4/11/2025,210976,Clifton Public School #4,2
3/21/2025,210958,Clifton Public School #4,6.5
,,,20.5
REMOTE,,Clifton Public School #5,8
4/30/2025,210996,Clifton Public School #5,1
4/23/2025,210977,Clifton Public School #5,2.5
3/21/2025,210959,Clifton Public School #5,5.5
,,,17
REMOTE,,Clifton Public School #9,8
4/21/2025,210979,Clifton Public School #9,4
3/6/2025,210961,Clifton Public School #9,4
,,,16
REMOTE,,Clifton Stadium Weight Room,8
4/9/2025,210974,Clifton Stadium Weight Room,3.5
4/23/2025,210967,Clifton Stadium Weight Room,2
3/4/2025,210956,Clifton Stadium Weight Room,7
,,,20.5
